Token,Average Similarity
εὐσεβής,0.058960212040886265
ἄνωθεν,0.02904999032490683
ὑπολαμβάνω,0.010299803386038036
κατηγορία,0.016549660090686247
βαρύς,0.06980585738006359
προσαγορεύω,0.04177700508828452
δαίμων,0.0662730509756005
παραπλήσιος,0.06195174274993249
λεπτός,0.0929679907456308
προστάσσω,0.05249372606364506
μείγνυμι,0.059726993361701446
φαντασία,0.06636310011780647
ἁμαρτάνω,0.03274805777294165
αὐτίκα,0.07050401232802464
διδασκαλία,0.0811709672854217
ἄχρι,-0.01835502441351262
ἐπιδείκνυμι,0.03545473998073892
προσφέρω,0.053499453840925436
ἔθος,0.06809700513400528
ἐπιχειρέω,0.021780411276725812
ἐπαινέω,0.03701127025292834
μέλι,0.053862709856411006
βιβλίον,-0.011748429009357698
συμφέρω,0.02725275440157425
ἐπιθυμία,0.088236953919488
φθορά,0.040697546373861124
διάστημα,0.039756356174686945
ἐνίστημι,0.007323249539230173
ὄργανον,0.05491230439098737
δύο,0.031180220321633693
ἱπποκράτης,-0.003162282255989552
μῦς,0.03618952962127323
χωρίζω,-0.02530931380332775
διώκω,0.0645016060750124
ἀπορέω,-9.448979169525719e-05
ἀπέρχομαι,0.061112877646317995
ὅπλον,0.08118623872084205
δόγμα,0.06607755355612446
ὑποτίθημι,0.0029262209497716222
ἀναγκάζω,0.0402017327019373
ἄρχων,0.03601384857619166
ἡρακλέης,0.07518855718732077
διονύσιος,0.09746305943525344
ἡλικία,0.06586139097300632
μνήμη,0.031511972804448306
ἀγών,0.049812824680639994
παρασκευάζω,0.0792887980372937
μάλα,0.05503892235701814
μόριος,-0.0017079750670850652
ἀλλότριος,0.058152227368279706
φοβέω,0.035396414205814984
σχεδόν,-0.004752288808508395
ὀργή,0.1043572393146957
ἐκεῖθεν,0.024666269985824586
ἀποφαίνω,0.011127840007164394
κακία,0.08540359080447295
ἐναργής,0.01138179802775843
συγχωρέω,-0.02073893621501073
δείδω,0.05533616200621339
ἐξουσία,0.050672328519064114
ξηρός,0.05278740971954049
ἔνδον,0.07982460772440426
παρίστημι,0.03443814789714195
ἐγγύς,0.006513140667833315
μετρέω,0.01308367800313292
ἐπιτίθημι,0.06433275028930673
αὐτοκράτωρ,0.034994415628552024
ὑπομένω,0.03030973961975088
φιλοσοφία,0.05032063204844125
ἀρκέω,-0.008174886531268789
νότος,0.060410963596459484
φιλέω,0.039364075250462524
φίλιππος,0.07122683964607296
ἀθήνη,0.07447489203303259
βασιλεία,0.07002193617323925
ἀποκτείνω,0.04546700655854266
περαίνω,0.028636050764337808
ὑγίεια,0.029351664433184647
παρακαλέω,0.06140193840506147
γραμμή,0.022111379736916355
παραγίγνομαι,0.07055184203206136
χρύσεος,0.07792384280135028
ἕλκω,0.07814766063814806
θεραπεύω,0.042029866751516196
θεάομαι,0.033190646272135554
πραγματεία,0.00013730726829255818
ἀναλαμβάνω,0.07149327358830986
ὕστερος,0.004304173562007365
ὀφείλω,-0.010500196785231857
ἦ,-0.006227609688251999
λογισμός,0.0628204963186238
γλῶσσα,0.06900734331727064
πολιτεία,0.06883495424668577
ἐνίοτε,0.013306943975279763
ξένος,0.06915725218655938
ἐλέγχω,0.02991055315481068
τίκτω,0.03982500504974206
πέμπτος,0.03998119852024673
ἐμαυτοῦ,0.03123204895533726
ὅμηρος,0.047090305220680494
ἑρμῆς,0.06100344989871372
ἄπειμι,0.04940597889513983
κρείσσων,0.028279748423586017
πλησίος,0.05108859782645111
ναός,0.0734593194995908
κενός,0.06864029553519592
θνητός,0.036464759197851575
